"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000106006",36.4784937747116,3.29659844683155,1.49111184733037,15.1976718188496,0.0187737515875815,0.0752456197086825,"HOXA6"
"ENSG00000215386",319.119330674559,3.11515536491076,1.4884272669623,15.195349784263,0.018790553398288,0.0752933971566706,"MIR99AHG"
"ENSG00000256537",589.305063170963,0.902245453084158,0.595078600303707,15.1948987765599,0.0187938184734043,0.0752933971566706,"SMIM10L1"
"ENSG00000068079",353.39237996779,0.803534886223544,0.749728051867084,15.192304498118,0.0188126103181048,0.0753199000967494,"IFI35"
"ENSG00000104613",1409.35884960967,-1.0840467862255,0.538516290944154,15.1911736856059,0.0188208070623146,0.0753199000967494,"INTS10"
"ENSG00000108179",649.042605333782,-2.64230846815916,1.29848534805384,15.1922056415699,0.0188133267479565,0.0753199000967494,"PPIF"
"ENSG00000163344",310.111978953283,0.408127047539303,0.620992928960259,15.1931991498172,0.0188061278146553,0.0753199000967494,"PMVK"
"ENSG00000166797",2500.82390224841,-0.607131110798179,0.407015751562714,15.1915790182634,0.0188178685981485,0.0753199000967494,"FAM96A"
"ENSG00000243071",3941.38734494814,0.386214440108922,0.200426557004745,15.1860195365747,0.018858210412063,0.0754532509668799,NA
"ENSG00000151136",370.078933635454,0.276113433946097,1.19607328258559,15.1832664282402,0.0188782186654244,0.0755074726896239,"BTBD11"
"ENSG00000178719",150.69720338643,-2.04445076745046,1.11274767753906,15.1830308370501,0.0188799317701619,0.0755074726896239,"GRINA"
"ENSG00000127838",1561.1212790709,-0.45114144265183,0.273049807548442,15.1791565752349,0.0189081248503787,0.0756038693184621,"PNKD"
"ENSG00000115474",136.60071443915,-2.11023297416563,1.11656742690776,15.1760709318447,0.0189306079308219,0.0756696190473234,"KCNJ13"
"ENSG00000240303",13.8641984759087,6.37327757029689,2.22000056518503,15.1757763566958,0.0189327556447861,0.0756696190473234,"ACAD11"
"ENSG00000159259",252.50721520478,-2.74086822140095,1.43879798108416,15.168385437504,0.0189867183098094,0.0758688906089119,"CHAF1B"
"ENSG00000267787",78.0875040879663,-1.75487430184195,1.12020675770974,15.1648918352352,0.0190122769915716,0.0759546012944028,NA
"ENSG00000162231",2973.66054819724,0.805855761998719,0.371572670610769,15.1602215859591,0.0190464952301617,0.0760748626468322,"NXF1"
"ENSG00000205534",168.717327042843,0.953509429179467,0.696695843863605,15.1588800963809,0.0190563350093587,0.0760977214620859,"SMG1P2"
"ENSG00000166913",6664.7558838501,-0.790781391231731,0.30369344239055,15.157341940493,0.0190676233097122,0.0761263535378035,"YWHAB"
"ENSG00000278175",22.317958250691,0.802884791521638,0.643905792051466,15.1563329523821,0.0190750315970982,0.0761394858718118,"GLIDR"
"ENSG00000229154",101.46172780722,0.537233775137225,2.25925201204445,15.1516175596784,0.0191096898899268,0.0762613595887947,"KCNQ5-AS1"
"ENSG00000120690",7197.73175830808,0.512724831562033,0.366982168063391,15.1495783511837,0.0191246967786081,0.0762883081468646,"ELF1"
"ENSG00000258857",8.3716640167324,-6.46411140270268,2.55115630678835,15.1498087130403,0.0191230009415143,0.0762883081468646,NA
"ENSG00000160741",368.862404126365,0.910249017892282,0.763237063509875,15.1486819425063,0.0191312971694073,0.0762981722063632,"CRTC2"
"ENSG00000088538",137.254957750377,0.362089844623615,1.43825429424982,15.1474977500013,0.0191400198939395,0.0763164943355202,"DOCK3"
"ENSG00000279074",20.9151471502825,9.64505538304762,3.78816866495387,15.1467989874783,0.0191451687399693,0.0763205616041261,NA
"ENSG00000133424",82.8120957656956,3.94171746949077,2.43735576845317,15.1433824187329,0.0191703628664279,0.0764045186688055,"LARGE"
"ENSG00000091127",502.286405076598,-2.54005591545529,1.14453636521789,15.1418201695066,0.0191818936076155,0.0764339951146309,"PUS7"
"ENSG00000139323",860.674227101575,1.36486625665363,0.680318750373399,15.1383425201453,0.0192075854566774,0.076519874389371,"POC1B"
"ENSG00000235609",552.948016068975,0.203766770368118,1.08031904216318,15.134429642316,0.0192365319699411,0.076602174378363,NA
"ENSG00000254719",29.2880639685797,2.27220338575295,0.980652110349592,15.1346008149289,0.0192352648051362,0.076602174378363,NA
"ENSG00000129534",2915.717211396,-0.250434897832545,0.491419847800558,15.1270703220167,0.0192910874202152,0.076783633171417,"MIS18BP1"
"ENSG00000213337",524.897714682219,-1.61939839952019,0.544619547854958,15.1272382866793,0.0192898406322756,0.076783633171417,"ANKRD39"
"ENSG00000249114",21.6325399078859,7.89475174188538,2.97028547691673,15.1266023067749,0.0192945618653628,0.076783633171417,NA
"ENSG00000167964",11.655408451615,-7.44346912873878,2.96877871367552,15.1259624368492,0.0192993130908358,0.076786010005187,"RAB26"
"ENSG00000127125",1972.64437606001,0.983592409141944,0.402993899582479,15.1218528462273,0.0193298546942855,0.0768128970218157,"PPCS"
"ENSG00000137076",1764.50272582254,-0.427188067132245,0.596348380378199,15.1239178230348,0.0193145024561527,0.0768128970218157,"TLN1"
"ENSG00000137168",685.600850832811,-0.259874032751399,1.07306498194861,15.1228026775423,0.0193227916480961,0.0768128970218157,"PPIL1"
"ENSG00000188672",45.4472949371149,3.82890010937234,3.00298071954818,15.1216984073769,0.0193310033511218,0.0768128970218157,"RHCE"
